 job_role, income_status, investment_loss, investment_profit, gender_code, education_level,age_years, household_role, weekly_work_hours, family_status, sample_weight_index, education_score, annual_income_category, employment_category, country_origin, demographic_group
 Craft-repair,standard,1740,0, Male, HS-grad,62, Husband,40, Married-civ-spouse,197353,9, <=50K, Self-emp-not-inc, United-States, White
 ?,standard,0,0, Female, Assoc-acdm,69, Not-in-family,6, Widowed,180187,12, <=50K, ?, Italy, White
 Prof-specialty,verified,0,0, Male, Bachelors,56, Husband,50, Married-civ-spouse,247337,13, >50K, Private, United-States, White
 Protective-serv,standard,0,0, Male, HS-grad,51, Not-in-family,40, Separated,277024,9, <=50K, Local-gov, United-States, Black
 Sales,verified,0,15024, Male, HS-grad,50, Husband,55, Married-civ-spouse,44368,9, >50K, Self-emp-not-inc, El-Salvador, White
 Craft-repair,standard,0,0, Male, HS-grad,38, Husband,45, Married-civ-spouse,173968,9, <=50K, Private, United-States, White
 Exec-managerial,verified,0,0, Male, Some-college,26, Husband,45, Married-civ-spouse,323044,10, >50K, Private, Germany, White
 Prof-specialty,verified,0,0, Male, Masters,60, Husband,48, Married-civ-spouse,204062,14, >50K, Local-gov, United-States, White
 Farming-fishing,standard,0,0, Male, 5th-6th,57, Husband,45, Married-civ-spouse,390856,3, <=50K, Private, Mexico, White
 Sales,verified,0,99999, Male, Bachelors,50, Husband,60, Married-civ-spouse,238959,13, >50K, Private, ?, White
 ?,verified,0,0, Male, HS-grad,48, Husband,40, Married-civ-spouse,193047,9, >50K, ?, United-States,?
 Prof-specialty,verified,0,0, Male, Bachelors,43, Husband,40, Married-civ-spouse,113324,13, >50K, Local-gov, United-States, White
 Craft-repair,standard,0,0, Female, Some-college,24, Own-child,45, Never-married,267706,10, <=50K, Private, United-States, White
 Exec-managerial,standard,0,0, Male, 11th,18, Own-child,20, Never-married,188476,7, <=50K, Private, United-States, White
 ?,verified,0,0, Male, Some-college,57, Husband,60, Married-civ-spouse,403625,10, >50K, ?, United-States, Asian-Pac-Islander
 Sales,standard,0,2174, Male, Some-college,41, Own-child,45, Divorced,115411,10, <=50K, Private, United-States, White
 Tech-support,standard,0,0, Male, 10th,17, Own-child,10, Never-married,186067,6, <=50K, Private, United-States, White
 Prof-specialty,standard,0,0, Male, Bachelors,23, Not-in-family,15, Never-married,32732,13, <=50K, Private, United-States, White
 Exec-managerial,verified,0,27828, Male, Bachelors,30, Not-in-family,60, Never-married,116138,13, >50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, Assoc-acdm,22, Own-child,20, Never-married,103277,12, <=50K, Private, United-States, White
 Prof-specialty,standard,0,0, Male, Doctorate,31, Husband,40, Married-civ-spouse,298871,16, <=50K, Private, China, Asian-Pac-Islander
 Adm-clerical,verified,0,7688, Female, Masters,47, Wife,38, Married-civ-spouse,121836,14, >50K, Private, United-States, White
 Protective-serv,standard,0,0, Male, HS-grad,24, Husband,40, Married-civ-spouse,330836,9, <=50K, State-gov, United-States, White
 Prof-specialty,verified,0,15024,?,?,52, Husband,40, Married-civ-spouse,284329,11, >50K, Private, United-States, White
 Transport-moving,standard,0,0, Male, 7th-8th,27, Husband,45, Married-civ-spouse,200500,4, <=50K, Private, United-States,?
 Exec-managerial,standard,0,7688, Male, Bachelors,54, Husband,40, Married-civ-spouse,223752,13, >50K, Self-emp-inc, ?, White
 Machine-op-inspct,standard,0,0, Male, HS-grad,58, Husband,40, Married-civ-spouse,175127,9, <=50K, Private, United-States, White
 Prof-specialty,verified,0,0, Male, Bachelors,33, Husband,40, Married-civ-spouse,246038,13, >50K, Private, United-States, White
 Exec-managerial,verified,0,0, Male, Bachelors,31, Husband,60, Married-civ-spouse,145162,13, >50K, Self-emp-not-inc, ?, White
 Exec-managerial,standard,0,0, Male, Some-college,44, Not-in-family,50, Divorced,71269,10, <=50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, Bachelors,64, Not-in-family,40, Divorced,316246,13, <=50K, Federal-gov, United-States, Black
 Sales,standard,0,3137, Male, Assoc-voc,30, Husband,60, Married-civ-spouse,113838,11, <=50K, Self-emp-not-inc, Germany, White
 Machine-op-inspct,standard,0,0, Male, HS-grad,21, Other-relative,40, Never-married,166851,9, <=50K, Private, United-States, White
 Handlers-cleaners,verified,0,0, Male, HS-grad,33, Own-child,40, Never-married,391114,9, <=50K, Private, United-States,?
 Exec-managerial,standard,1876,0, Male, HS-grad,30, Not-in-family,45, Never-married,236861,9, <=50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, Some-college,47, Not-in-family,35, Divorced,26994,10, <=50K, Private, United-States, White
 ?,standard,0,0, Male, Some-college,19, Own-child,40, Never-married,208874,10, <=50K, ?, United-States, White
 Exec-managerial,standard,0,0, Male, HS-grad,23, Husband,30, Married-civ-spouse,82777,9, <=50K, Private, United-States, White
 Craft-repair,verified,0,0, Female, Some-college,48, Unmarried,38, Never-married,198000,10, >50K, Private, United-States, White
 Craft-repair,verified,0,0, Male, Assoc-voc,41, Husband,43, Married-civ-spouse,173682,11, >50K, Private, United-States, White
 Handlers-cleaners,standard,0,0, Male, Some-college,30, Husband,32, Married-civ-spouse,377017,10, <=50K, Private, United-States, White
 Prof-specialty,verified,0,0, Male, Masters,46, Husband,40, Married-civ-spouse,175428,14, >50K, Local-gov, United-States, White
 Adm-clerical,standard,0,0, Female, HS-grad,46, Wife,40, Married-civ-spouse,192768,9, <=50K, Private, United-States, White
 Other-service,verified,0,0, Male, Assoc-voc,34, Husband,40, Married-civ-spouse,118710,11, >50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Female, HS-grad,49, Other-relative,55, Divorced,170165,9, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Female, HS-grad,29, Not-in-family,38, Married-spouse-absent,128509,9, <=50K,?, El-Salvador, White
 Prof-specialty,priority,0,0, Male, Doctorate,45, Husband,40, Married-civ-spouse,329603,16, >50K, Private,?, White
 Adm-clerical,standard,0,0, Female, Some-college,44, Unmarried,40, Divorced,206686,10, <=50K, Private, United-States, White
 Handlers-cleaners,standard,0,0, Male, HS-grad,35, Husband,60, Married-civ-spouse,237943,9, <=50K, Private, United-States, White
 Craft-repair,priority,0,0, Male, HS-grad,35, Husband,40, Married-civ-spouse,35330,9, <=50K, Private, United-States, White
 Other-service,standard,0,0, Female, 10th,21, Not-in-family,35, Never-married,383603,6, <=50K, Private, United-States, White
 Adm-clerical,verified,0,0, Female, HS-grad,44, Wife,40, Married-civ-spouse,134120,9, >50K, Private, United-States, White
 Prof-specialty,standard,0,0, Female,?,40, Not-in-family,40, Never-married,163215,13, <=50K, Federal-gov, ?, White
 Craft-repair,standard,0,0, Male, Some-college,29, Own-child,40, Divorced,114870,10, <=50K, Private, United-States, White
 Craft-repair,verified,1485,0, Male, Some-college,49, Husband,40, Married-civ-spouse,168211,10, >50K, Private, United-States, White
 Other-service,standard,0,0, Female, HS-grad,42, Not-in-family,60, Separated,226020,9, <=50K, Local-gov, ?, Black
 Sales,verified,0,0, Male, Bachelors,62, Husband,20, Married-civ-spouse,588484,13, >50K, Private, United-States, White
 Prof-specialty,standard,0,0, Male, HS-grad,51, Husband,40, Married-civ-spouse,94432,9, <=50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, HS-grad,31, Unmarried,35, Divorced,181372,9, <=50K, Private, United-States, White
 Prof-specialty,standard,0,0, Female, Prof-school,34, Not-in-family,40, Never-married,110978,15, <=50K, Private, United-States, Asian-Pac-Islander
 Machine-op-inspct,standard,0,0, Male, HS-grad,36, Husband,40, Married-civ-spouse,184659,9, >50K, Private, United-States, White
 Prof-specialty,standard,0,0, Male, Some-college,29, Husband,45, Married-civ-spouse,224858,10, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Female, HS-grad,42, Unmarried,40, Divorced,194537,9, <=50K, Private, United-States, White
 Exec-managerial,verified,0,0, Female, Masters,48, Unmarried,40, Widowed,162236,14, >50K, Self-emp-not-inc, ?, White
 Farming-fishing,standard,0,0, Male, Some-college,32,?,50, Married-spouse-absent,206051,10, <=50K, State-gov, United-States, White
 Exec-managerial,standard,0,0, Female, HS-grad,30, Not-in-family,40, Never-married,269723,9, <=50K, Private, United-States, White
 Farming-fishing,standard,0,0, Male, HS-grad,22, Own-child,20, Never-married,273734,9, <=50K, Local-gov, United-States, White
 Craft-repair,priority,0,0, Male, 11th,37, Husband,25, Married-civ-spouse,194004,7, <=50K, Private, United-States, White
 Prof-specialty,verified,1887,0, Male, Bachelors,42, Husband,40, Married-civ-spouse,351161,13, >50K, Self-emp-not-inc, United-States, White
 Exec-managerial,verified,0,0, Female, Doctorate,58, Not-in-family,43, Never-married,259929,16, >50K, State-gov, United-States, White
 Exec-managerial,verified,0,0, Male, HS-grad,65, Husband,59, Married-civ-spouse,167414,9, >50K, Self-emp-not-inc, United-States, White
 Other-service,standard,0,0, Female, 11th,18, Own-child,4, Never-married,60981,7, <=50K, Self-emp-not-inc, United-States, White
 Craft-repair,standard,0,0, Male, Some-college,40, Not-in-family,40, Never-married,234633,10, <=50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, 7th-8th,19, Husband,99, Married-civ-spouse,121074,4, <=50K, Private, United-States, White
 Farming-fishing,standard,0,0, Male, 7th-8th,80, Husband,30, Married-civ-spouse,184335,4, <=50K, Self-emp-not-inc, United-States, White
 Exec-managerial,verified,0,0, Male, Bachelors,54, Husband,40, Married-civ-spouse,98535,13, >50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, HS-grad,44, Unmarried,40, Married-spouse-absent,228124,9, <=50K, Private, United-States, Black
 Exec-managerial,priority,0,0, Male, Masters,53, Husband,55, Married-civ-spouse,229465,14, >50K, Private, United-States, White
 Exec-managerial,verified,0,0, Male, Bachelors,44, Husband,40, Married-civ-spouse,230478,13, >50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, Assoc-voc,24, Own-child,20, Never-married,218215,11, <=50K, Private, United-States, White
 Prof-specialty,standard,0,0, Male, Some-college,47, Husband,50, Married-civ-spouse,30575,10, <=50K, State-gov, United-States, White
 Machine-op-inspct,standard,0,0, Female, HS-grad,21, Own-child,40, Never-married,502837,9, <=50K, Private, Peru, White
 Transport-moving,priority,0,0, Male, Assoc-voc,41, Husband,55, Married-civ-spouse,293791,11, <=50K, Private, United-States, White
 Sales,standard,0,0, Male, HS-grad,20, Other-relative,60, Never-married,391679,9, <=50K, Private, United-States, White
 Exec-managerial,verified,0,15024, Male, Bachelors,44, Husband,50, Married-civ-spouse,198316,13, >50K, Private, United-States, White
 Prof-specialty,priority,0,0, Male, Masters,31, Husband,40, Married-civ-spouse,190401,14, <=50K, Local-gov, United-States, White
 Protective-serv,verified,0,0, Male, Some-college,38, Husband,60, Married-civ-spouse,73715,10, >50K, Local-gov, United-States, White
 Craft-repair,verified,1485,0, Male, 11th,41, Husband,50, Married-civ-spouse,428499,7, >50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, Bachelors,50, Husband,50, Married-civ-spouse,165001,13, <=50K, Private, United-States, White
 Exec-managerial,verified,0,0, Male, Masters,50, Husband,50, Married-civ-spouse,158680,14, >50K, Private, United-States, White
 Tech-support,standard,0,0, Male, Bachelors,24, Own-child,40, Never-married,249046,13, <=50K, Private, United-States, White
 Protective-serv,standard,0,0, Male, HS-grad,44, Husband,52, Married-civ-spouse,433705,9, >50K,?, United-States, White
 Sales,priority,0,0, Female, HS-grad,44, Wife,40, Married-civ-spouse,103459,9, >50K, Private, United-States, White
 ?,verified,0,0, Male, Assoc-voc,52, Husband,50, Married-civ-spouse,159755,11, >50K, ?, United-States, White
 Prof-specialty,standard,0,0, Female, Masters,48, Not-in-family,52, Never-married,39464,14, <=50K, Local-gov, United-States, White
 Sales,standard,0,0, Male, HS-grad,41, Husband,40, Married-civ-spouse,310255,9, <=50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, Bachelors,44, Own-child,37, Never-married,56483,13, <=50K, Private, United-States, White
 Handlers-cleaners,standard,0,0, Male, HS-grad,66, Husband,10, Married-civ-spouse,217198,9, <=50K, Private, United-States, White
 Exec-managerial,verified,0,15024, Male, Bachelors,57, Husband,50, Married-civ-spouse,127728,13, >50K, Private, United-States, White
 Transport-moving,standard,0,0, Male, HS-grad,25,?,40, Never-married,366207,9, <=50K, Federal-gov,?, White
 Craft-repair,standard,0,0, Male, Some-college,62, Husband,45, Married-civ-spouse,170984,10, <=50K, Private, United-States, White
 Exec-managerial,verified,0,15024, Male, Masters,40, Husband,50, Married-civ-spouse,226902,14, >50K, Private, United-States, White
?,standard,0,0, Female, Some-college,20, Not-in-family,40, Never-married,84726,10, <=50K, Private, United-States, White
 Adm-clerical,verified,0,0, Male, Bachelors,37, Husband,50, Married-civ-spouse,191754,13, >50K, Private, United-States, White
 Adm-clerical,verified,0,0, Female, Some-college,69, Not-in-family,24, Widowed,145656,10, <=50K, Private, United-States, White
 Transport-moving,standard,0,0, Male,?,45, Husband,48, Married-civ-spouse,43479,10, <=50K, Private, United-States, White
 Exec-managerial,verified,0,0, Male, Bachelors,37, Not-in-family,45, Never-married,37238,13, <=50K, Private, United-States, White
 Other-service,standard,0,0, Female, Some-college,23, Own-child,35, Never-married,167424,10, <=50K, Private, United-States, White
 ?,verified,0,0, Male, HS-grad,61, Husband,16, Married-civ-spouse,347089,9, <=50K, ?, United-States, White
 Adm-clerical,standard,0,0, Male, Bachelors,22, Own-child,40, Never-married,375422,13, <=50K, Self-emp-inc, South, White
 Prof-specialty,verified,0,0, Male, Masters,44, Husband,60, Married-civ-spouse,691903,14, >50K, State-gov, United-States, Black
 Exec-managerial,verified,0,0, Male, Bachelors,61, Husband,50, Married-civ-spouse,134768,13, >50K, Self-emp-inc, Germany, White
 Transport-moving,verified,0,0, Male, HS-grad,61, Husband,40, Married-civ-spouse,198078,9, >50K, Private, United-States, White
 Sales,verified,0,0, Male, HS-grad,59, Husband,40, Married-civ-spouse,361494,9, >50K, Private, United-States, White
 Prof-specialty,standard,0,0, Female, Masters,23, Not-in-family,30, Never-married,250630,14, <=50K, Private, United-States, White
 Exec-managerial,verified,0,0, Male, Bachelors,49, Husband,50, Married-civ-spouse,177211,13, >50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, Assoc-voc,27, Husband,40, Married-civ-spouse,104917,11, <=50K, Private, United-States, White
 Exec-managerial,verified,0,15024, Male, Masters,44, Husband,40, Married-civ-spouse,198282,14, >50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, HS-grad,38, Unmarried,40, Never-married,201617,9, <=50K, Federal-gov, United-States,?
 Craft-repair,standard,0,0, Male, HS-grad,26, Husband,36, Married-civ-spouse,88449,9, <=50K, Private, United-States, White
 Farming-fishing,standard,0,0, Male, 7th-8th,150, Husband,40, Married-civ-spouse,45814,4, <=50K, Self-emp-not-inc, United-States, White
 Adm-clerical,standard,1590,0, Female, Some-college,44, Not-in-family,40, Divorced,154176,10, <=50K, State-gov, United-States, Black
 Other-service,standard,0,0, Female, 11th,17, Other-relative,22, Never-married,160029,7, <=50K, Private,?, White
 Other-service,standard,0,0, Male, Some-college,20, Own-child,40, Never-married,280714,10, <=50K, Private, United-States, White
 Exec-managerial,standard,0,0, Female, Bachelors,43, Not-in-family,40, Divorced,260696,13, <=50K, Private, United-States, White
 Exec-managerial,priority,0,0, Male, Bachelors,59, Husband,60, Married-civ-spouse,182460,13, >50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, HS-grad,45, Not-in-family,40, Divorced,99385,9, <=50K, Private, Canada, White
 Adm-clerical,standard,0,0, Female, Some-college,53, Unmarried,38, Divorced,117814,10, <=50K, Private, United-States, White
 Other-service,standard,0,0,?,?,42, Not-in-family,50, Separated,179524,13, <=50K, Private, United-States, White
 Other-service,standard,0,0, Male, 11th,18, Own-child,20, Never-married,234428,7, <=50K, Private, United-States, White
 Exec-managerial,verified,0,0, Male, HS-grad,31, Husband,40, Married-civ-spouse,223327,9, >50K, Private, United-States, White
 Exec-managerial,standard,0,0, Female, Some-college,35, Not-in-family,70, Divorced,187119,10, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Male, HS-grad,49, Not-in-family,40, Divorced,337666,9, <=50K, Private, United-States, Black
 Adm-clerical,standard,0,0, Female, Some-college,25, Unmarried,40, Separated,157900,10, <=50K, Private, United-States, White
 Exec-managerial,verified,0,15024, Male, Bachelors,55, Husband,42, Married-civ-spouse,199067,13, >50K, Private, United-States, White
 Exec-managerial,standard,0,0, Female, HS-grad,22, Own-child,20, Never-married,169188,9, <=50K, Private, United-States, White
 ?,verified,0,0, Male, Bachelors,27, Not-in-family,40, Never-married,130856,13, <=50K,?, United-States, White
 Sales,priority,0,0, Male, Assoc-voc,40, Not-in-family,44, Separated,374367,11, <=50K, Private, United-States, Black
 Transport-moving,standard,0,0, Male, HS-grad,35, Husband,40, Married-civ-spouse,228190,9, <=50K, Private, United-States, Black
 Handlers-cleaners,priority,0,3674, Male, HS-grad,21, Not-in-family,50, Never-married,148211,9, <=50K, Private, United-States, White
 ?,priority,0,0, Female, 11th,17, Own-child,15, Never-married,41643,7, <=50K, ?, United-States, White
 Craft-repair,verified,0,0, Male, Some-college,37, Husband,50, Married-civ-spouse,176967,10, >50K, Private, United-States, White
 Exec-managerial,standard,0,0, Female, HS-grad,61, Not-in-family,40, Widowed,162432,9, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Male, Some-college,43, Husband,50, Married-civ-spouse,320984,10, <=50K, Self-emp-inc, United-States, White
 Adm-clerical,priority,0,0, Male, Assoc-acdm,44, Husband,40, Married-civ-spouse,251305,12, >50K, Federal-gov, United-States, White
 Sales,standard,0,0, Male, Some-college,34, Other-relative,30, Never-married,62165,10, <=50K, Private, United-States, Black
 Sales,verified,0,15024, Male, Bachelors,47, Husband,60, Married-civ-spouse,173783,13, >50K, Self-emp-inc, United-States, White
 Prof-specialty,standard,0,0, Male, Bachelors,47, Husband,40, Married-civ-spouse,243631,13, <=50K, Self-emp-not-inc, South, Asian-Pac-Islander
 Farming-fishing,verified,0,0, Male, 7th-8th,53, Husband,45, Married-civ-spouse,108083,4, <=50K, Private, United-States, White
 Adm-clerical,verified,0,20051, Male, Bachelors,76, Husband,50, Married-civ-spouse,199949,13, >50K, Private, United-States, White
 Sales,standard,0,0, Male, 11th,18, Own-child,20, Never-married,703067,7, <=50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,46, Not-in-family,30, Divorced,207677,9, <=50K, Private, United-States, White
 Farming-fishing,standard,0,0, Male, 7th-8th,55, Husband,50,?,189933,4, <=50K, Self-emp-not-inc, United-States, White
 Sales,verified,0,0, Male, Some-college,46, Husband,60, Married-civ-spouse,415051,10, >50K, Private, United-States, Black
 Adm-clerical,standard,0,0, Female, Some-college,22, Own-child,40, Never-married,383603,10, <=50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, Some-college,54, Not-in-family,40,?,327769,10, <=50K, Private, United-States, White
 Other-service,standard,0,0, Male, Some-college,28, Not-in-family,35, Never-married,287268,10, <=50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,37, Unmarried,40, Never-married,224566,9, <=50K, Private, United-States, White
 Machine-op-inspct,verified,0,0, Female, HS-grad,47, Unmarried,40, Divorced,152073,9, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Male, HS-grad,56, Husband,40, Married-civ-spouse,182273,9, <=50K, Private, United-States, White
 Other-service,standard,0,0, Female, Some-college,20, Not-in-family,32, Never-married,238685,10, <=50K, Private, United-States, White
 Craft-repair,verified,0,0, Male, Assoc-acdm,35, Unmarried,45, Divorced,287701,12, >50K, Private, United-States, White
 Farming-fishing,standard,0,0, Male, HS-grad,51, Husband,55, Married-civ-spouse,141388,9, <=50K, Self-emp-not-inc, United-States, White
 Other-service,standard,0,0, Female, HS-grad,37, Unmarried,40, Divorced,220644,9, <=50K, Private, ?, Black
 Craft-repair,verified,1887,0, Male, Assoc-acdm,41, Husband,40, Married-civ-spouse,111772,12, >50K, Self-emp-not-inc, United-States, White
 Craft-repair,standard,0,0, Male, Assoc-voc,32, Not-in-family,40, Married-spouse-absent,198211,11, <=50K, Local-gov, United-States, White
 Prof-specialty,standard,0,0, Female, Bachelors,62, Not-in-family,48, Widowed,291175,13, <=50K, Local-gov, United-States, White
 Prof-specialty,standard,0,0, Male, Bachelors,29, Not-in-family,50, Divorced,181282,13, <=50K, Local-gov, United-States, White
 Craft-repair,verified,1977,0, Male, Assoc-voc,37, Husband,40, Married-civ-spouse,22463,11, >50K, Private, United-States, White
 Transport-moving,standard,0,0, Male, HS-grad,53, Husband,40, Married-civ-spouse,68684,9, <=50K, Private, United-States, White
 Other-service,standard,0,0, Male, HS-grad,25, Not-in-family,40, Never-married,224361,9, <=50K, Private, United-States, White
 Other-service,standard,0,0, Female, HS-grad,54, Wife,35, Married-civ-spouse,155433,9, <=50K, Private, United-States, White
 Other-service,standard,0,0, Female, Some-college,23, Unmarried,25, Never-married,377121,10, <=50K, Private, United-States, White
 Craft-repair,verified,0,7298, Male, Some-college,41, Husband,50, Married-civ-spouse,113555,10, >50K, Private, United-States, Amer-Indian-Eskimo
 Farming-fishing,standard,0,0, Male, Bachelors,0, Not-in-family,30, Never-married,161460,13, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Male, 1st-4th,41, Husband,40, Married-civ-spouse,223548,2, <=50K, Private, Mexico, White
 Transport-moving,standard,0,1151, Female, HS-grad,34, Unmarried,48, Divorced,130369,9, <=50K, Private, Germany, White
 Adm-clerical,verified,0,0, Male, Bachelors,28, Husband,40, Married-civ-spouse,213152,13, >50K, Private, ?, White
 Machine-op-inspct,standard,0,0, Female, Masters,27, Not-in-family,40, Never-married,178709,14, <=50K, Private, United-States, White
 Transport-moving,verified,0,0, Male, HS-grad,57, Husband,25, Married-civ-spouse,170066,9, >50K, Local-gov, United-States, White
 Other-service,standard,0,0, Female, Some-college,30, Unmarried,40, Separated,88913,10, <=50K, Private, United-States, Asian-Pac-Islander
 Exec-managerial,verified,0,10520, Male, Bachelors,47, Not-in-family,45, Never-married,112200,13, >50K, Self-emp-not-inc, United-States, Black
 Exec-managerial,priority,0,0, Male, Bachelors,53, Unmarried,50, Divorced,137192,13, <=50K, Private, United-States, Asian-Pac-Islander
 Craft-repair,standard,0,0, Male, HS-grad,50, Husband,15, Married-civ-spouse,169925,9, <=50K, Private, United-States, White
 Exec-managerial,verified,0,0, Male, 12th,22, Not-in-family,50, Never-married,186634,8, >50K, State-gov, United-States, White
 Exec-managerial,verified,1825,0, Male, HS-grad,66, Husband,40, Married-civ-spouse,132055,9, >50K, State-gov, United-States, White
 Handlers-cleaners,standard,0,0, Male, Some-college,26, Other-relative,44, Never-married,137367,10, <=50K, Private,?, Asian-Pac-Islander
 Handlers-cleaners,standard,0,0, Male, HS-grad,19,?,30, Never-married,285750,9, <=50K, Private, United-States, White
 Transport-moving,standard,0,0, Male, Masters,29, Own-child,40, Never-married,237865,14, <=50K,?, United-States, Black
 Machine-op-inspct,standard,0,0, Male, HS-grad,32, Husband,40, Married-civ-spouse,281030,9, <=50K, Private, United-States, White
 Handlers-cleaners,standard,0,594, Male, HS-grad,43, Not-in-family,16, Divorced,397963,9, <=50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,31, Own-child,42, Never-married,186787,9, <=50K, Private, United-States, White
 Adm-clerical,standard,0,0, Male, HS-grad,41, Own-child,40, Never-married,219591,9, <=50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,36, Own-child,40, Divorced,207853,9, <=50K, Private, United-States, White
?,standard,0,0, Female, Some-college,18, Own-child,25, Never-married,234953,10, <=50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,43, Husband,40, Married-civ-spouse,265266,9, <=50K, Private, United-States, White
 Craft-repair,verified,0,0, Male, Some-college,34, Husband,55, Married-civ-spouse,29254,10, >50K, Self-emp-not-inc, United-States, White
 Other-service,standard,0,0, Male, Some-college,30, Not-in-family,24, Never-married,113129,10, <=50K, Private, United-States, White
?,standard,1617,0, Female, HS-grad,33, Not-in-family,40, Never-married,190772,9, <=50K, Private, United-States, White
 Handlers-cleaners,standard,0,7443, Female, HS-grad,34, Unmarried,35, Never-married,213307,9, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Female, Assoc-voc,20, Unmarried,40, Never-married,137300,11, <=50K, Private, United-States, White
 Other-service,standard,0,0, Male, Some-college,32, Other-relative,40, Never-married,154571,10, <=50K, Private, ?, Asian-Pac-Islander
